metric_id,workbook_id,metric_name,metric_type,tableau_formula,lookml_sql,logic_complexity,definition_owner,parity_status,certification_status
MET001_01,WB001,Margin Rate,dimension_group,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",High,Client Reporting,Pass,Owner review
MET001_02,WB001,ROAS,filtered_measure,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",Medium,Client Reporting,Pass,Certified
MET001_03,WB001,Repeat Purchase Rate,filtered_measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",Medium,Client Reporting,Pass,Owner review
MET001_04,WB001,Digital Shelf Availability,measure,AVG([In Stock Rate]),avg(${in_stock_rate}),High,Client Reporting,Tolerance review,Draft
MET001_05,WB001,Conversion Rate,filtered_measure,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Medium,Client Reporting,Pass,Owner review
MET002_01,WB002,Qualified Visit Rate,parameterized_measure,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",High,Commerce Analytics,Pass,Draft
MET002_02,WB002,Margin Rate,parameterized_measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Low,Commerce Analytics,Pass,Draft
MET002_03,WB002,Revenue,dimension_group,sum(order_revenue),sum(${order_revenue}),High,Commerce Analytics,Tolerance review,Owner review
MET002_04,WB002,Digital Shelf Availability,filtered_measure,AVG([In Stock Rate]),avg(${in_stock_rate}),Medium,Commerce Analytics,Tolerance review,Owner review
MET003_01,WB003,Email Revenue Per Send,filtered_measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Medium,Client Reporting,Pass,Draft
MET003_02,WB003,ROAS,measure,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",High,Client Reporting,Pass,Certified
MET003_03,WB003,Conversion Rate,filtered_measure,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Low,Client Reporting,Pass,Draft
MET003_04,WB003,Repeat Purchase Rate,dimension_group,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",High,Client Reporting,Pass,Owner review
MET003_05,WB003,Margin Rate,measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,Client Reporting,Pass,Owner review
MET004_01,WB004,Revenue,filtered_measure,sum(order_revenue),sum(${order_revenue}),High,Client Reporting,Fail,Owner review
MET004_02,WB004,Digital Shelf Availability,filtered_measure,AVG([In Stock Rate]),avg(${in_stock_rate}),Low,Client Reporting,Fail,Owner review
MET004_03,WB004,Margin Rate,dimension_group,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,Client Reporting,Tolerance review,Certified
MET004_04,WB004,ROAS,dimension_group,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",Medium,Client Reporting,Pass,Owner review
MET004_05,WB004,Conversion Rate,measure,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Medium,Client Reporting,Pass,Certified
MET004_06,WB004,Email Revenue Per Send,filtered_measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Low,Client Reporting,Tolerance review,Owner review
MET004_07,WB004,Qualified Visit Rate,parameterized_measure,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",Medium,Client Reporting,Pass,Owner review
MET005_01,WB005,Revenue,filtered_measure,sum(order_revenue),sum(${order_revenue}),High,Commerce Analytics,Pass,Certified
MET005_02,WB005,Repeat Purchase Rate,parameterized_measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",Low,Commerce Analytics,Pass,Certified
MET005_03,WB005,Digital Shelf Availability,measure,AVG([In Stock Rate]),avg(${in_stock_rate}),High,Commerce Analytics,Pass,Owner review
MET005_04,WB005,Email Revenue Per Send,filtered_measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",High,Commerce Analytics,Pass,Certified
MET005_05,WB005,Qualified Visit Rate,measure,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",Low,Commerce Analytics,Fail,Owner review
MET005_06,WB005,Margin Rate,measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",High,Commerce Analytics,Pass,Owner review
MET005_07,WB005,ROAS,measure,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",Low,Commerce Analytics,Pass,Owner review
