sample_date,workbook_id,tableau_load_seconds,looker_load_seconds,warehouse_query_cost,cache_hit_rate_pct,pdt_build_minutes
2026-01-12,WB001,18.4,10.4,4.22,53.7,14.7
2026-01-19,WB001,18.4,13.8,4.4,56.6,12.4
2026-01-26,WB001,18.4,12.8,2.86,71.0,34.5
2026-02-02,WB001,18.4,11.3,4.79,61.5,5.6
2026-02-09,WB001,18.4,9.1,3.83,67.6,18.4
2026-02-16,WB001,18.4,8.4,4.78,28.7,33.3
2026-02-23,WB001,18.4,8.3,3.32,60.7,22.3
2026-03-02,WB001,18.4,10.6,0.66,52.9,36.4
2026-01-12,WB002,15.8,12.7,0.59,66.8,33.3
2026-01-19,WB002,15.8,8.4,2.23,85.8,18.3
2026-01-26,WB002,15.8,8.7,4.44,50.1,22.7
2026-02-02,WB002,15.8,7.8,4.04,88.4,36.9
2026-02-09,WB002,15.8,14.6,0.91,67.6,17.6
2026-02-16,WB002,15.8,7.2,4.73,78.9,13.0
2026-02-23,WB002,15.8,13.0,2.11,96,22.9
2026-03-02,WB002,15.8,12.1,1.52,65.0,36.9
2026-01-12,WB003,5.6,4.5,2.85,96,9.0
2026-01-19,WB003,5.6,2.7,4.33,86.5,34.6
2026-01-26,WB003,5.6,2.8,0.61,49.5,30.5
2026-02-02,WB003,5.6,4.9,3.03,96,33.4
2026-02-09,WB003,5.6,5.7,4.25,96,4.8
2026-02-16,WB003,5.6,4.4,4.48,87.7,31.6
2026-02-23,WB003,5.6,3.6,0.64,49.6,33.7
2026-03-02,WB003,5.6,4.6,3.94,65.6,31.0
2026-01-12,WB004,11.6,10.0,2.3,36.7,8.1
2026-01-19,WB004,11.6,5.8,2.61,56.2,23.0
2026-01-26,WB004,11.6,7.2,2.2,80.6,18.5
2026-02-02,WB004,11.6,10.3,0.88,39.0,33.3
2026-02-09,WB004,11.6,8.0,4.05,63.6,20.5
2026-02-16,WB004,11.6,6.4,3.46,93.6,12.0
2026-02-23,WB004,11.6,7.5,0.51,76.6,9.2
2026-03-02,WB004,11.6,6.2,1.68,80.0,19.8
2026-01-12,WB005,14.5,11.3,3.56,72.8,36.8
2026-01-19,WB005,14.5,8.6,2.65,62.0,28.9
2026-01-26,WB005,14.5,8.7,4.01,79.7,6.9
2026-02-02,WB005,14.5,12.4,2.3,66.7,5.0
2026-02-09,WB005,14.5,12.1,1.12,68.6,31.1
2026-02-16,WB005,14.5,9.2,3.41,77.6,36.2
2026-02-23,WB005,14.5,7.2,2.41,80.1,29.8
2026-03-02,WB005,14.5,11.5,2.42,79.8,11.5
2026-01-12,WB006,10.8,5.0,0.83,67.2,6.0
2026-01-19,WB006,10.8,9.1,3.98,76.3,35.3
2026-01-26,WB006,10.8,7.1,1.55,58.2,22.4
2026-02-02,WB006,10.8,7.2,4.28,74.9,29.0
2026-02-09,WB006,10.8,7.4,1.2,54.4,24.0
2026-02-16,WB006,10.8,5.2,3.97,41.5,23.6
2026-02-23,WB006,10.8,8.5,2.56,56.7,37.9
2026-03-02,WB006,10.8,7.5,4.66,72.3,20.0
2026-01-12,WB007,4.0,2.3,3.42,63.2,31.6
2026-01-19,WB007,4.0,2.8,3.96,85.4,5.3
2026-01-26,WB007,4.0,3.0,4.19,65.9,33.7
2026-02-02,WB007,4.0,2.8,2.27,65.3,26.3
2026-02-09,WB007,4.0,2.2,4.66,52.8,15.5
2026-02-16,WB007,4.0,3.4,4.11,85.8,16.9
2026-02-23,WB007,4.0,2.8,3.68,44.2,33.7
2026-03-02,WB007,4.0,1.8,3.08,96,29.4
2026-01-12,WB008,6.6,4.0,3.65,81.4,26.9
2026-01-19,WB008,6.6,4.7,2.73,96,7.1
2026-01-26,WB008,6.6,4.0,0.71,61.1,12.9
2026-02-02,WB008,6.6,4.4,1.87,96,26.9
2026-02-09,WB008,6.6,4.7,4.53,68.3,26.0
2026-02-16,WB008,6.6,5.0,3.41,96,26.1
2026-02-23,WB008,6.6,2.8,0.31,85.5,12.0
2026-03-02,WB008,6.6,4.6,1.87,77.8,36.3
2026-01-12,WB009,8.4,5.7,1.59,58.0,14.6
2026-01-19,WB009,8.4,5.3,3.34,61.5,6.9
2026-01-26,WB009,8.4,5.8,1.87,69.1,8.4
2026-02-02,WB009,8.4,4.5,2.76,60.6,33.7
2026-02-09,WB009,8.4,7.6,4.41,54.5,5.7
2026-02-16,WB009,8.4,4.7,0.62,59.3,20.4
2026-02-23,WB009,8.4,7.1,2.73,67.6,7.9
2026-03-02,WB009,8.4,4.6,2.14,44.2,25.1
