entity_id,entity_name,segment,priority_score,avg_risk_score,avg_quality_score,estimated_impact
BIA008,BI asset 8,Core,100.67,50.0,80.4,887378
BIA027,BI asset 27,Core,95.94,47.9,79.1,833668
BIA006,BI asset 6,Strategic,94.23,53.6,80.1,765118
BIA020,BI asset 20,Strategic,90.62,47.4,80.1,767537
BIA034,BI asset 34,Growth,87.67,52.0,81.3,692116
BIA012,BI asset 12,Strategic,86.79,54.8,80.3,651321
BIA002,BI asset 2,Strategic,86.21,54.1,80.1,648476
BIA005,BI asset 5,Strategic,85.51,48.4,81.0,692162
BIA019,BI asset 19,Core,83.73,50.3,79.8,645604
BIA014,BI asset 14,Growth,82.81,51.4,80.2,624847
BIA036,BI asset 36,Core,81.74,50.0,80.8,624510
BIA030,BI asset 30,Watch,81.38,47.2,82.9,652762
BIA016,BI asset 16,Core,81.04,52.9,81.1,590360
BIA025,BI asset 25,Core,80.85,50.3,80.5,608124
BIA024,BI asset 24,Core,80.69,51.5,80.1,593580
BIA003,BI asset 3,Watch,78.91,49.0,79.6,588300
BIA035,BI asset 35,Growth,78.90,51.0,82.0,581556
BIA004,BI asset 4,Growth,78.41,49.8,80.2,577018
BIA028,BI asset 28,Watch,78.03,49.8,81.5,577438
BIA029,BI asset 29,Strategic,78.01,53.5,80.7,541163
BIA022,BI asset 22,Growth,77.01,51.1,81.3,550725
BIA017,BI asset 17,Core,76.34,51.4,79.1,528970
BIA021,BI asset 21,Core,75.44,50.5,82.5,539242
BIA018,BI asset 18,Core,73.46,49.5,80.4,510884
BIA023,BI asset 23,Watch,73.18,54.4,79.3,459956
